dp,depto_nom,anio,pib_miles_millones,pob_total,pib_pc,ln_pib_pc,expulsados_total,recibidos_total,eventos_total,expulsados_adol,tasa_expulsion,tasa_expul_adol,ln_expulsados,ln_expul_adol,expul_acum,cuartil_conflicto,alta_intensidad
11,"Bogotá, D.C.",2019,229313.76178465533,7533202,30440410.56972259,17.231281578702628,177,7429,177,16,0.023495984841505644,0.0021239308331304535,5.181783550292085,2.833213344056216,15536,1,0
11,"Bogotá, D.C.",2020,213987.55277946152,7717564,27727344.11784101,17.137929636511807,152,3180,157,17,0.019695333916246113,0.0022027676090538412,5.030437921392435,2.8903717578961645,15536,1,0
11,"Bogotá, D.C.",2021,237631.21138542914,7804920,30446335.309705816,17.23147619380042,176,6865,183,13,0.02254987879440148,0.0016656160473137458,5.176149732573829,2.6390573296152584,15536,1,0
11,"Bogotá, D.C.",2022,260391.4394270662,7849206,33174239.46155397,17.317284212872405,248,10730,252,26,0.031595552467345106,0.003312436952221664,5.517452896464707,3.295836866004329,15536,1,0
13,Bolívar,1993,12826.857715326967,1469865,8726554.966154693,15.981881229790119,2683,2491,2718,219,1.8253377010813918,0.14899327489259218,7.895063498091573,5.393627546352362,729421,4,1
13,Bolívar,1994,12896.558825768698,1500407,8595373.672456006,15.966734671416123,2733,2494,2763,258,1.8215057647691593,0.17195334332617748,7.913521017283895,5.556828061699537,729421,4,1
13,Bolívar,1995,13607.569678278625,1530247,8892400.820441814,16.00070762957323,4047,4106,4090,367,2.644671089046409,0.23983056330121869,8.305978210967302,5.908082938168931,729421,4,1
13,Bolívar,1996,13977.818070316862,1559366,8963782.76191533,16.00870287910632,7267,6361,7327,622,4.660227297504242,0.39888005766446105,8.891236429516061,6.434546518787453,729421,4,1
13,Bolívar,1997,14096.64207171213,1587980,8877090.436725985,15.99898440775636,14503,14180,14698,1323,9.132986561543596,0.8331339185632061,9.582179752434687,7.188412736496954,729421,4,1
13,Bolívar,1998,14691.944689674245,1616288,9089929.944214301,16.022677759216844,54583,40286,55585,5589,33.77059038983152,3.4579233403947813,10.90749607849526,8.628734566149145,729421,4,1
13,Bolívar,1999,13613.89410309586,1644322,8279335.861890712,15.929273313227874,53193,37528,54438,4849,32.34950332112567,2.9489357923812975,10.881700887014485,8.48673398393153,729421,4,1
13,Bolívar,2000,14199.710722809228,1671988,8492710.90630389,15.95471881312757,103714,75204,110657,9102,62.03034950011603,5.443818974777331,11.549402031780247,9.116359308505288,729421,4,1
13,Bolívar,2001,14827.074557920147,1699162,8726110.022422904,15.981830241160912,81378,60850,84241,6560,47.893020206431174,3.860726640543986,11.306872533448725,8.788898309344878,729421,4,1
